airtable_table,airtable_table_id,airtable_field,field_id_testing,field_id_production,in_testing,in_production,airtable_type,choices,labos_use,direction,labos_source,write_phase,status,delivery_state,owner,rule
IFET Projects,tblLYcRC7q6Srjfk3,Back Charges Status,fldfgNcT03v4TZrNE,fldfgNcT03v4TZrNE,yes,yes,multipleLookupValues,,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,Balance Due,fld1Chl7INLTGs6Cj,fld1Chl7INLTGs6Cj,yes,yes,currency,,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,Company,fldHv1MxlLTBsYIE1,fldHv1MxlLTBsYIE1,yes,yes,singleLineText,,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,Contact email,fldJKbExQdoLlV13V,fldJKbExQdoLlV13V,yes,yes,email,,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,Customer Name,fld5T069KEywPp5F4,fld5T069KEywPp5F4,yes,yes,singleLineText,,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,Final Invoice Status,fldGu1onl7NMJ4Ay2,fldGu1onl7NMJ4Ay2,yes,yes,singleSelect,Not Created | Draft | Sent | Partially Paid | Paid,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,Hubspot Deal ID,fldXifux2uAphjFTO,fldXifux2uAphjFTO,yes,yes,singleLineText,,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,Hubspot Deal Stage,fldNLM91Jg2fIST6C,fldNLM91Jg2fIST6C,yes,yes,singleLineText,,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,IFET job number,fldZa91p5KebdT6q2,fldZa91p5KebdT6q2,yes,yes,singleLineText,,read,IN,project_parents.name,n/a,DECIDED,BASELINE,Airtable,"Display only. Linkage is by record ID, never by job name."
IFET Projects,tblLYcRC7q6Srjfk3,Mock-Ups/Specimens 2,fldnV9a0Z5AKKHYaa,fldnV9a0Z5AKKHYaa,yes,yes,multipleRecordLinks,,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,Mock-Ups/Specimens 3,flde9nEuoGsWTHm0G,flde9nEuoGsWTHm0G,yes,yes,multipleRecordLinks,,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,Product Type,fldR3PaaTo9BIjmSO,fldR3PaaTo9BIjmSO,yes,yes,singleLineText,,ignore,IGNORED,mirror.product_type,n/a,DECIDED,BASELINE,Airtable,"Product context only; no billing/customer fields. LabOS executes standalone, so this is not read: the operator sets the test up in LabOS as today and no Airtable value reaches a rig. Field retained in both bases. Decision A9, 2026-09-06."
IFET Projects,tblLYcRC7q6Srjfk3,Project Lead,fldba1J8C6ev5wmU8,fldba1J8C6ev5wmU8,yes,yes,singleLineText,,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,Project Priority,fldowoytqlZdhuChX,fldowoytqlZdhuChX,yes,yes,singleLineText,,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,Project Status,fldYpIwi0DcgVAjSB,fldYpIwi0DcgVAjSB,yes,yes,singleSelect,Completed | Cancelled | In Progress | Pending,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,Project Status Modified Time,fld2bJ2UQUoWrlQSu,fld2bJ2UQUoWrlQSu,yes,yes,lastModifiedTime,,ignore,IGNORED,-,n/a,DECIDED,BASELINE,Airtable,"Field-scoped to Project Status only. NOT usable as a delta-poll cursor. LabOS executes standalone, so this is not read: the operator sets the test up in LabOS as today and no Airtable value reaches a rig. Field retained in both bases. Decision A9, 2026-09-06."
IFET Projects,tblLYcRC7q6Srjfk3,Project name,fldXOI9t0N8oP4FLy,fldXOI9t0N8oP4FLy,yes,yes,singleLineText,,read,IN,mirror.project_name,n/a,DECIDED,BASELINE,Airtable,Display only.
IFET Projects,tblLYcRC7q6Srjfk3,Proposal/Signed Approval Link,fldSxZvcL0q2dsUZs,fldSxZvcL0q2dsUZs,yes,yes,url,,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,Protocol Sections,fldrrcKHQYOuKVPXc,fldrrcKHQYOuKVPXc,yes,yes,multipleRecordLinks,,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,QuickBooks Invoice Date,fldwxvUo1sfjbilui,fldwxvUo1sfjbilui,yes,yes,dateTime,,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,QuickBooks Invoice ID,fldLCY5LrgaE48XZR,fldLCY5LrgaE48XZR,yes,yes,singleLineText,,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,QuickBooks Invoice Number,fldCY1r37TzUNlqxd,fldCY1r37TzUNlqxd,yes,yes,singleLineText,,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,Read Project Info For LabOS,fldY2C1Q0Yk4VDtUg,fldY2C1Q0Yk4VDtUg,yes,yes,singleLineText,,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,Reason For Not Approval For Invoice,fldyWaBcjIm9bBVeH,fldyWaBcjIm9bBVeH,yes,yes,formula,,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,Remaining Amount,fld1YUsbCOwYAl3b7,fld1YUsbCOwYAl3b7,yes,yes,formula,,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,Report Status,fld1sTdXmRO5ZNTik,fld1sTdXmRO5ZNTik,yes,yes,singleSelect,Ready | In Progress | Pending,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,Service line,fldYipGKCSMD6jiCR,fldYipGKCSMD6jiCR,yes,yes,singleLineText,,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,Target Completion Date,flduHyuVRhtMfJTTM,flduHyuVRhtMfJTTM,yes,yes,multipleLookupValues,,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,Target Testing Date,fldBnWcEQKLAJGxdC,fldBnWcEQKLAJGxdC,yes,yes,multipleLookupValues,,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,Tests Protocols,fldL4kUzCrbtJeU56,fldL4kUzCrbtJeU56,yes,yes,multipleRecordLinks,,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,Wall Scheduling/Reservation,fldaYynjl8ptNVzXS,fldaYynjl8ptNVzXS,yes,yes,multipleRecordLinks,,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,record_id,,,no,no,-,,not-a-field,IN,project_parents.airtable_project_id,n/a,DECIDED,BASELINE,Airtable,"Airtable record metadata, not a schema field. Import/mirror identity is unique by base_id + record ID; display names never match identity."
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,(delivery metadata),,,no,no,-,,not-a-field,LOCAL_ONLY,sync_outbox.attempt_seq,every,DECIDED,PLANNED,LabOS,"Local ordering metadata, never an Airtable schema field or payload. Transactional per-attempt FIFO; PostgreSQL migration and validation pending. Contract section 7."
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,ANSI Result,,,no,no,singleSelect,,write,OUT,run.ansi_result,terminal+verdict,DECIDED,OMITTED,LabOS,No dedicated scalar; decided together with Forced Entry Result. DG8 closed by A9.
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Airtable Mockup ID,fldV0IzvUSnmlVKC3,fldV0IzvUSnmlVKC3,yes,yes,singleLineText,,write,OUT,projects.airtable_mockup_id,create,DECIDED,BASELINE,LabOS,Permanent specimen record ID from imported hierarchy; repeats across runs. Imported specimen unique by base_id + record ID.
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Airtable Project ID,fldgIIL715TrhyvKE,fldgIIL715TrhyvKE,yes,yes,singleLineText,,write,OUT,project_parents.airtable_project_id,create,DECIDED,BASELINE,LabOS,Permanent job record ID from imported hierarchy. Repeats across specimens and runs.
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Airtable Protocol ID,fldVPHPXqlPGnBUSB,fldVPHPXqlPGnBUSB,yes,yes,singleLineText,,write,OUT,programme.airtable_protocol_id,create,DECIDED,BASELINE,LabOS,Permanent record ID. REPEATS across sections of one protocol.
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Airtable Section ID,fld0dex9BWVQzgRLS,fld0dex9BWVQzgRLS,yes,yes,singleLineText,,write,OUT,programme.airtable_section_id,create,DECIDED,BASELINE,LabOS,Primary section for the programme. Repeats across stages/runs; run UUID is the outbound merge key.
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Attempt Number,fldyQpMOaSdWzO7xR,fldyQpMOaSdWzO7xR,yes,yes,number,,write,OUT,test_programme_runs.attempt_number,create,DECIDED,BASELINE,LabOS,"Run ordinal for the programme. Never a stage index, never an impact ordinal."
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Complete LabOS JSON Response,fldeG1iA6TVWOSi0T,fldeG1iA6TVWOSi0T,yes,yes,multilineText,,write,OUT,result_detail + required_params,create+terminal+verdict,DECIDED,BASELINE,LabOS,"Version 0.4; identity, attempt_kind, execution times, snapshot, procedure/stages, observations, review, data_quality. No quarantined numbers."
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Correction Reason,fldCh0DXyvROqZBaJ,fldrrmBxxwfIOrXEa,yes,yes,multilineText,,write,OUT,run.correction_reason,create,DECIDED,BASELINE,LabOS,Required on a new correction row alongside Corrects Attempt ID.
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Corrects Attempt ID,fldV4ucQNEA0gYfMc,,yes,no,singleLineText,,write,OUT,test_programme_runs.corrects_attempt_id,create,DECIDED,APPLIED,LabOS,Required on a new correction row; references original UUID. Never update original or disguise correction as retest.
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Deflection Unit,fldvZMcxhm9R9Lzg7,fldvZMcxhm9R9Lzg7,yes,yes,singleLineText,,write,OUT,run.deflection_unit,terminal,DECIDED,OMITTED,LabOS,"OMITTED. When unblocked: short form in / mm, never Inches. Contract 10.24."
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Deflection Value,fldg21XOFDAKWvUZx,fldg21XOFDAKWvUZx,yes,yes,number,,write,OUT,run.deflection_value,terminal,DECIDED,OMITTED,LabOS,Omitted; v0.4 envelope must reject quarantined values in scalars and JSON. Evidence retained locally. Validation not yet implemented.
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Excel File Link,fldQAF1pExVQ9Xe6O,fldQAF1pExVQ9Xe6O,yes,yes,url,,write,OUT,run.excel_file_link,terminal,DECIDED,CONDITIONAL,LabOS,Optional validated reachable URL. Omit localhost/LAN/unconfigured links; validate consumer access before publishing.
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Failure Notes,,,no,no,multilineText,,write,OUT,run.failure_note,terminal,DECIDED,OMITTED,LabOS,Carried inside Notes and the JSON for this release. DG8 closed by A9.
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Forced Entry Result,,,no,no,singleSelect,,write,OUT,run.forced_entry_result,terminal+verdict,DECIDED,OMITTED,LabOS,"No dedicated scalar. Test Type and Test Result are both singleSelect, so Airtable filters and groups natively; sub-detail stays in JSON. DG8 closed by A9. Revisit only if a named operational report requires one."
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Impact Result,flda24C2M2tWyXEdb,flda24C2M2tWyXEdb,yes,yes,singleLineText,,write,OUT,derived from impact_shots roll-up,terminal,DECIDED,BASELINE,LabOS,Roll-up summary only. Per-shot detail goes to Complete LabOS JSON Response.
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,LabOS Attempt ID,fldDu6er95KG2pOrG,fldDu6er95KG2pOrG,yes,yes,singleLineText,,write,OUT,test_programme_runs.labos_attempt_id,create,DECIDED,BASELINE,LabOS,Persisted programme-run UUID; unique merge key on every phase/retry. Stages have separate child IDs. Contract section 2.
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,LabOS Created At,fldJYqMAdKP7v0zCU,fldJYqMAdKP7v0zCU,yes,yes,dateTime,,write,OUT,run.labos_created_at,create,DECIDED,BASELINE,LabOS,UTC.
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,LabOS Photos,fldsEfhtH9wXPAl1Y,,yes,no,multipleAttachments,,write,OUT,uploads/ downscaled copy,attachment,DECIDED,APPLIED,LabOS,"Persisted immutable JPEG preview; artifact ID/full hash/deterministic filename. Single owner; reconcile uncertain remote uploads, park ambiguity instead of blind append."
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,LabOS Report Link,fldfewhrzgMnmAmU3,fldfewhrzgMnmAmU3,yes,yes,url,,write,OUT,run.report_link,terminal,DECIDED,CONDITIONAL,LabOS,Optional validated reachable URL. Omit localhost/LAN/unconfigured links; validate consumer access before publishing.
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,LabOS Test ID,fldQWGjD0gQ4WwPbh,fldQWGjD0gQ4WwPbh,yes,yes,singleLineText,,write,OUT,test_programmes.labos_test_id (via run.programme_id),create,DECIDED,BASELINE,LabOS,Stable programme UUID shared by runs. Linked programme uniqueness: specimen_id + primary_section_id + test_type. Not correction linkage.
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,LabOS Updated At,fldmqwik5SKFHRVqd,fldmqwik5SKFHRVqd,yes,yes,dateTime,,write,OUT,run.labos_updated_at,every,DECIDED,BASELINE,LabOS,"UTC domain revision time. Audit metadata, not remote compare-and-swap. FIFO uses attempt_seq."
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,LabOS Verdict At,fldqCkqAh7aTckxSR,,yes,no,dateTime,,write,OUT,run.verdict_at,verdict,DECIDED,APPLIED,LabOS,UTC first-review timestamp. Required with first review in scalars and detailed JSON; missing schema parks delivery.
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,LabOS Verdict By,fldVedw9cOgne8UeX,,yes,no,singleLineText,,write,OUT,run.verdict_by,verdict,DECIDED,APPLIED,LabOS,Declared reviewer identity. Required with first review in scalars and detailed JSON; missing schema parks delivery.
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Max Pressure Achieved,fldDZkfaE2T4bFZ8C,fldDZkfaE2T4bFZ8C,yes,yes,number,,write,OUT,-,terminal,DECIDED,OMITTED,LabOS,"NO SOURCE. Firmware sends no pressure; static pressure is an open-loop operator slider, so the configured setpoint is not an achieved value. Omitted from the payload."
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Measured Value,fld0kER3p3ogmmP2L,fld0kER3p3ogmmP2L,yes,yes,number,,write,OUT,run.measured_value,terminal,DECIDED,CONDITIONAL,LabOS,"Omit for rig Static Load/Cycles. Manual observations require genuine value, quantity, declared unit and source; never a target."
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Notes,fldH5IvnQ0rL1xQRm,fldH5IvnQ0rL1xQRm,yes,yes,multilineText,,write,OUT,run.note,terminal,DECIDED,BASELINE,LabOS,Operator free text.
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Operator Name,fldNHIHKq4xPvYhzX,fldNHIHKq4xPvYhzX,yes,yes,singleLineText,,write,OUT,run.operator_name,create,DECIDED,BASELINE,LabOS,"Declared identity, selected per session, snapshotted per attempt. No authentication behind it."
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Photos,fld01SK9bnkTd9s29,fld01SK9bnkTd9s29,yes,yes,url,,write,OUT,run.photo_links,terminal,DECIDED,CONDITIONAL,LabOS,Optional reachable URL only. Omit localhost/LAN/unconfigured links. Photos holds at most one URL; originals retained locally.
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Raw Modified Time,fldKxp708fktN57aH,fldKxp708fktN57aH,yes,yes,lastModifiedTime,,read-only,READ_ONLY,-,n/a,DECIDED,BASELINE,Airtable,"Airtable-owned. Never written by LabOS. Field-scoped, not whole-record."
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Retest Required,fldBDTojy4Qk3LssD,fldBDTojy4Qk3LssD,yes,yes,checkbox,,write,OUT,run.retest_required,verdict,DECIDED,BASELINE,LabOS,Explicit with first review. A blank/false checkbox before review is not a decision that no retest is needed.
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Schema Version,fldB8gHb2a5guxm7g,fldB8gHb2a5guxm7g,yes,yes,singleLineText,,write,OUT,run.schema_version,create,DECIDED,BASELINE,LabOS,"Literal 0.4, matching detailed JSON schema. Existing sample versions unchanged."
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Test Date,fld4hqC9SIQ9ll8mp,fld4hqC9SIQ9ll8mp,yes,yes,dateTime,,write,OUT,run.testing_end_date,terminal,DECIDED,BASELINE,LabOS,Completion instant in UTC; absent at create. Corrections preserve original execution time.
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Test Result,fldAYKt62KMn9q7E6,fldAYKt62KMn9q7E6,yes,yes,singleSelect,Pending | Passed | Failed | Not Applicable | Inconclusive,write,OUT,run.test_result,create+terminal+verdict,DECIDED,BASELINE,LabOS,Pending at creation and termination; first review once to Passed/Failed/Inconclusive. Corrections create new rows.
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Test Status,fldQ7u9PGz7S8Ngdb,fldQ7u9PGz7S8Ngdb,yes,yes,singleSelect,Not Started | In Progress | Completed | Abborted,write,OUT,run.status,create+terminal,DECIDED,BASELINE,LabOS,Not Started / In Progress / Completed / Abborted. Their spelling of Aborted wins on the wire.
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Test Type,fldu6lraAAKIAXIRQ,fldu6lraAAKIAXIRQ,yes,yes,singleSelect,Static Load | Cycles | Impact | Forced Entry | ANSI Z97.1,write,OUT,run.test_type,create,DECIDED,BASELINE,LabOS,All five options live in both bases since 2026-09-05. Closes contract 10.17.
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Testing Continued,fldCjb00kloRr9pGj,fldCjb00kloRr9pGj,yes,yes,singleLineText,,write,OUT,run.testing_continued,terminal,DECIDED,BASELINE,LabOS,Continued / Stopped.
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Testing End Date,fldTsjf78Y5fA85fz,,yes,no,dateTime,,write,OUT,run.testing_end_date,terminal,DECIDED,APPLIED,LabOS,UTC completion/abort time; absent while running; also Test Date.
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Testing Start Date,fldYU1BtWVuWv5DBV,,yes,no,dateTime,,write,OUT,run.testing_start_date,create,DECIDED,APPLIED,LabOS,UTC physical execution start; corrections preserve original.
LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Unit,fld05iOwDiDtXA7b5,fld05iOwDiDtXA7b5,yes,yes,singleLineText,,write,OUT,run.unit,terminal,DECIDED,BASELINE,LabOS,"Canonical outbound pressure PSF; length in/mm, time s, counts cycles/impacts. Explicit quantity/unit/source for manual measurements."
Mock-Ups/Specimens,tblcrGv0WJn6FTTGO,Height (Inches),fldw4wNgbNM4NP9dr,fldw4wNgbNM4NP9dr,yes,yes,number,,ignore,IGNORED,mirror.height_in,n/a,DECIDED,BASELINE,Airtable,"Specimen context, finite positive inches when provided; not an automatic acceptance criterion. LabOS executes standalone, so this is not read: the operator sets the test up in LabOS as today and no Airtable value reaches a rig. Field retained in both bases. Decision A9, 2026-09-06."
Mock-Ups/Specimens,tblcrGv0WJn6FTTGO,IFET Job Number,fldyj3e89pH6QH2Pp,fldyj3e89pH6QH2Pp,yes,yes,multipleRecordLinks,,ignore,,,,,,,
Mock-Ups/Specimens,tblcrGv0WJn6FTTGO,IFET job number (from IFET Job Number),fldIirOarIpvHw92Y,fldIirOarIpvHw92Y,yes,yes,multipleLookupValues,,ignore,,,,,,,
Mock-Ups/Specimens,tblcrGv0WJn6FTTGO,IFET job number (from IFET Job Number) 2,fldZqkvfxKwpJbwMl,fldZqkvfxKwpJbwMl,yes,yes,multipleLookupValues,,ignore,,,,,,,
Mock-Ups/Specimens,tblcrGv0WJn6FTTGO,Mock-up/specimen name,fldyprpxI76d6CIxo,fldyprpxI76d6CIxo,yes,yes,singleLineText,,read,IN,projects.airtable_mockup_name,n/a,DECIDED,BASELINE,Airtable,Display only.
Mock-Ups/Specimens,tblcrGv0WJn6FTTGO,Project Name,fldmqg3pC6l8osgph,fldmqg3pC6l8osgph,yes,yes,multipleRecordLinks,,read,IN,projects.airtable_project_id,n/a,DECIDED,BASELINE,Airtable,RELATIONSHIP specimen->project. Repeats by design - 6 specimens share 1 project.
Mock-Ups/Specimens,tblcrGv0WJn6FTTGO,Project name (from IFET Projects),fldXBEMsULBqNIkRZ,fldXBEMsULBqNIkRZ,yes,yes,multipleLookupValues,,ignore,,,,,,,
Mock-Ups/Specimens,tblcrGv0WJn6FTTGO,Reservations,fld0QsYC3mAFS3JQ6,fld0QsYC3mAFS3JQ6,yes,yes,multipleRecordLinks,,ignore,,,,,,,
Mock-Ups/Specimens,tblcrGv0WJn6FTTGO,Scheduled Test Date,fld4k1G1OqQER1VMI,fld4k1G1OqQER1VMI,yes,yes,multipleLookupValues,,ignore,,,,,,,
Mock-Ups/Specimens,tblcrGv0WJn6FTTGO,Service line,fldS9y6Bc5p5i088A,fldS9y6Bc5p5i088A,yes,yes,singleLineText,,ignore,,,,,,,
Mock-Ups/Specimens,tblcrGv0WJn6FTTGO,Specimen status,fldKhsUYTaQPKGtJL,fldKhsUYTaQPKGtJL,yes,yes,singleSelect,Pending | Received | In Testing | On Hold | Completed | Failed,ignore,IGNORED,mirror.specimen_status,n/a,DECIDED,BASELINE,Airtable,"Airtable-owned operational status. Read-only to LabOS. LabOS executes standalone, so this is not read: the operator sets the test up in LabOS as today and no Airtable value reaches a rig. Field retained in both bases. Decision A9, 2026-09-06."
Mock-Ups/Specimens,tblcrGv0WJn6FTTGO,Tests Protocols,fld1mVERdRpQ3XZch,fld1mVERdRpQ3XZch,yes,yes,multipleRecordLinks,,ignore,,,,,,,
Mock-Ups/Specimens,tblcrGv0WJn6FTTGO,Width (Inches),fldvm1NAoIGLrFbd0,fldvm1NAoIGLrFbd0,yes,yes,number,,ignore,IGNORED,mirror.width_in,n/a,DECIDED,BASELINE,Airtable,"Specimen context, finite positive inches when provided; not an automatic acceptance criterion. LabOS executes standalone, so this is not read: the operator sets the test up in LabOS as today and no Airtable value reaches a rig. Field retained in both bases. Decision A9, 2026-09-06."
Mock-Ups/Specimens,tblcrGv0WJn6FTTGO,record_id,,,no,no,-,,not-a-field,IN,projects.airtable_mockup_id,n/a,DECIDED,BASELINE,Airtable,"Airtable record metadata, not a schema field. Import/mirror identity is unique by base_id + record ID; display names never match identity."
Protocol Sections,tblqpvuJlSdkeS9PS,Applicability,fldh3VS09fonTLHsS,,yes,no,singleSelect,Required | Not Required | Unconfirmed,read,IN,mirror.applicability,n/a,DECIDED,APPLIED,Airtable,"Required/Not Required/Unconfirmed. Blank=Unconfirmed, never infer from Value or historical Result. Only Required is executable."
Protocol Sections,tblqpvuJlSdkeS9PS,Excel File Link,fldj1vr7RnBRUJWEX,fldj1vr7RnBRUJWEX,yes,yes,url,,ignore,,,,,,,
Protocol Sections,tblqpvuJlSdkeS9PS,IFET Job Number,fldfX6gGWvOLRDKWl,fldfX6gGWvOLRDKWl,yes,yes,multipleRecordLinks,,ignore,,,,,,,
Protocol Sections,tblqpvuJlSdkeS9PS,IFET job number (from IFET Job Number),fldinuC7cfvh0VQDA,fldinuC7cfvh0VQDA,yes,yes,multipleLookupValues,,ignore,,,,,,,
Protocol Sections,tblqpvuJlSdkeS9PS,Impact Locations,,,no,no,number,,ignore,IGNORED,mirror.impact_locations,n/a,DECIDED,OMITTED,Airtable,Impact requirements are entered in LabOS; not needed. DG7 closed by A9.
Protocol Sections,tblqpvuJlSdkeS9PS,Impact Velocity,,,no,no,number,,ignore,IGNORED,mirror.impact_velocity,n/a,DECIDED,OMITTED,Airtable,Impact requirements are entered in LabOS; not needed. DG7 closed by A9.
Protocol Sections,tblqpvuJlSdkeS9PS,LabOS Attempt ID,fldngWweJSr09a7Kv,fldngWweJSr09a7Kv,yes,yes,singleLineText,,ignore,,,,,,,
Protocol Sections,tblqpvuJlSdkeS9PS,LabOS Report Link,fld8Hn9rHfJzJ2icU,fld8Hn9rHfJzJ2icU,yes,yes,url,,ignore,,,,,,,
Protocol Sections,tblqpvuJlSdkeS9PS,LabOS Retest Required,fldhLLbcY0R6yquQd,fldhLLbcY0R6yquQd,yes,yes,checkbox,,ignore,,,,,,,
Protocol Sections,tblqpvuJlSdkeS9PS,Latest LabOS Attempt Number,flduSq3FOqFDRCHhw,flduSq3FOqFDRCHhw,yes,yes,singleLineText,,ignore,,,,,,,
